Timestamp,Event_Type,Key_Button,Active_Window
1776580361.691599,Keyboard,a,Honeypot Exam Collector
1776580362.122092,Keyboard,Key.space,Honeypot Exam Collector
1776580362.602342,Keyboard,l,Honeypot Exam Collector
1776580363.083933,Keyboard,i,Honeypot Exam Collector
1776580363.5042763,Keyboard,n,Honeypot Exam Collector
1776580363.833032,Keyboard,k,Honeypot Exam Collector
1776580364.454746,Keyboard,e,Honeypot Exam Collector
1776580364.7065334,Keyboard,d,Honeypot Exam Collector
1776580365.1276035,Keyboard,Key.space,Honeypot Exam Collector
1776580366.410815,Keyboard,k,Honeypot Exam Collector
1776580367.3730094,Keyboard,Key.backspace,Honeypot Exam Collector
1776580367.7928681,Keyboard,l,Honeypot Exam Collector
1776580368.1256526,Keyboard,i,Honeypot Exam Collector
1776580369.3150306,Keyboard,e,Honeypot Exam Collector
1776580369.738039,Keyboard,s,Honeypot Exam Collector
1776580370.4382398,Keyboard,t,Honeypot Exam Collector
1776580372.7225754,Mouse,Button.left,Honeypot Exam Collector
1776580375.1794827,Keyboard,a,Honeypot Exam Collector
1776580375.7204323,Keyboard,Key.space,Honeypot Exam Collector
1776580376.2615507,Keyboard,l,Honeypot Exam Collector
1776580376.7230844,Keyboard,i,Honeypot Exam Collector
1776580377.175488,Keyboard,n,Honeypot Exam Collector
1776580377.5950427,Keyboard,k,Honeypot Exam Collector
1776580378.9311287,Keyboard,e,Honeypot Exam Collector
1776580379.1936016,Keyboard,d,Honeypot Exam Collector
1776580380.1754694,Keyboard,Key.space,Honeypot Exam Collector
1776580380.675889,Keyboard,l,Honeypot Exam Collector
1776580380.955168,Keyboard,i,Honeypot Exam Collector
1776580381.4463644,Keyboard,s,Honeypot Exam Collector
1776580381.7697794,Keyboard,t,Honeypot Exam Collector
1776580382.1191332,Keyboard,Key.space,Honeypot Exam Collector
1776580382.6294987,Keyboard,i,Honeypot Exam Collector
1776580382.9991345,Keyboard,s,Honeypot Exam Collector
1776580383.2618418,Keyboard,Key.space,Honeypot Exam Collector
1776580383.500654,Keyboard,a,Honeypot Exam Collector
1776580385.581184,Keyboard,Key.space,Honeypot Exam Collector
1776580385.9122298,Keyboard,w,Honeypot Exam Collector
1776580386.164501,Keyboard,a,Honeypot Exam Collector
1776580386.7556741,Keyboard,y,Honeypot Exam Collector
1776580387.1764393,Keyboard,Key.space,Honeypot Exam Collector
1776580387.9566052,Keyboard,o,Honeypot Exam Collector
1776580388.5270677,Keyboard,f,Honeypot Exam Collector
1776580388.8794675,Keyboard,Key.space,Honeypot Exam Collector
1776580389.9406366,Keyboard,s,Honeypot Exam Collector
1776580390.2432425,Keyboard,t,Honeypot Exam Collector
1776580390.8443723,Keyboard,r,Honeypot Exam Collector
1776580392.2886546,Keyboard,o,Honeypot Exam Collector
1776580394.669244,Keyboard,Key.backspace,Honeypot Exam Collector
1776580395.2232928,Keyboard,Key.backspace,Honeypot Exam Collector
1776580397.7205453,Keyboard,o,Honeypot Exam Collector
1776580398.6798258,Keyboard,r,Honeypot Exam Collector
1776580399.2519329,Keyboard,i,Honeypot Exam Collector
1776580399.651476,Keyboard,n,Honeypot Exam Collector
1776580400.323206,Keyboard,g,Honeypot Exam Collector
1776580401.062486,Keyboard,Key.space,Honeypot Exam Collector
1776580401.6650767,Keyboard,a,Honeypot Exam Collector
1776580401.9973729,Keyboard,Key.space,Honeypot Exam Collector
1776580403.0193863,Keyboard,c,Honeypot Exam Collector
1776580403.5212135,Keyboard,o,Honeypot Exam Collector
1776580403.860494,Keyboard,l,Honeypot Exam Collector
1776580404.0903122,Keyboard,l,Honeypot Exam Collector
1776580405.3509104,Keyboard,e,Honeypot Exam Collector
1776580405.7308865,Keyboard,c,Honeypot Exam Collector
1776580407.8858137,Keyboard,t,Honeypot Exam Collector
1776580408.5072947,Keyboard,i,Honeypot Exam Collector
1776580408.9978092,Keyboard,o,Honeypot Exam Collector
1776580409.3885703,Keyboard,n,Honeypot Exam Collector
1776580409.818092,Keyboard,Key.space,Honeypot Exam Collector
1776580410.598119,Keyboard,o,Honeypot Exam Collector
1776580411.421796,Keyboard,f,Honeypot Exam Collector
1776580411.9118917,Keyboard,Key.space,Honeypot Exam Collector
1776580412.8839772,Keyboard,d,Honeypot Exam Collector
1776580413.203051,Keyboard,a,Honeypot Exam Collector
1776580413.435724,Keyboard,t,Honeypot Exam Collector
1776580413.5568087,Keyboard,a,Honeypot Exam Collector
1776580414.0474844,Keyboard,Key.space,Honeypot Exam Collector
1776580416.129028,Keyboard,w,Honeypot Exam Collector
1776580416.7414033,Keyboard,h,Honeypot Exam Collector
1776580417.4642615,Keyboard,e,Honeypot Exam Collector
1776580417.985099,Keyboard,r,Honeypot Exam Collector
1776580418.2032387,Keyboard,e,Honeypot Exam Collector
1776580419.0566282,Keyboard,Key.space,Honeypot Exam Collector
1776580420.5609727,Keyboard,e,Honeypot Exam Collector
1776580420.8300972,Keyboard,a,Honeypot Exam Collector
1776580421.771494,Keyboard,c,Honeypot Exam Collector
1776580422.6836011,Keyboard,h,Honeypot Exam Collector
1776580423.045658,Keyboard,Key.space,Honeypot Exam Collector
1776580423.3659935,Keyboard,i,Honeypot Exam Collector
1776580423.9077644,Keyboard,t,Honeypot Exam Collector
1776580424.2176995,Keyboard,e,Honeypot Exam Collector
1776580425.2685583,Keyboard,m,Honeypot Exam Collector
1776580425.5722725,Keyboard,Key.space,Honeypot Exam Collector
1776580427.758893,Keyboard,i,Honeypot Exam Collector
1776580428.1716375,Keyboard,s,Honeypot Exam Collector
1776580428.6216764,Keyboard,Key.space,Honeypot Exam Collector
1776580429.774246,Keyboard,c,Honeypot Exam Collector
1776580430.4167042,Keyboard,o,Honeypot Exam Collector
1776580430.8078096,Keyboard,n,Honeypot Exam Collector
1776580431.0401518,Keyboard,n,Honeypot Exam Collector
1776580432.1124058,Keyboard,e,Honeypot Exam Collector
1776580432.4829524,Keyboard,c,Honeypot Exam Collector
1776580433.7732708,Keyboard,t,Honeypot Exam Collector
1776580434.1257608,Keyboard,e,Honeypot Exam Collector
1776580434.515644,Keyboard,d,Honeypot Exam Collector
1776580435.5700085,Keyboard,Key.space,Honeypot Exam Collector
1776580437.5803306,Keyboard,t,Honeypot Exam Collector
1776580438.0606399,Keyboard,o,Honeypot Exam Collector
1776580438.419757,Keyboard,Key.space,Honeypot Exam Collector
1776580438.810524,Keyboard,t,Honeypot Exam Collector
1776580439.072445,Keyboard,h,Honeypot Exam Collector
1776580439.4220917,Keyboard,e,Honeypot Exam Collector
1776580439.7563367,Keyboard,Key.space,Honeypot Exam Collector
1776580442.062523,Keyboard,n,Honeypot Exam Collector
1776580442.5428822,Keyboard,e,Honeypot Exam Collector
1776580442.952776,Keyboard,x,Honeypot Exam Collector
1776580443.4031613,Keyboard,t,Honeypot Exam Collector
1776580443.8942952,Keyboard,Key.space,Honeypot Exam Collector
1776580444.8769822,Keyboard,o,Honeypot Exam Collector
1776580445.2288973,Keyboard,n,Honeypot Exam Collector
1776580445.700975,Keyboard,e,Honeypot Exam Collector
1776580446.1816843,Keyboard,Key.space,Honeypot Exam Collector
1776580447.78998,Keyboard,i,Honeypot Exam Collector
1776580448.4495351,Keyboard,n,Honeypot Exam Collector
1776580448.731402,Keyboard,Key.space,Honeypot Exam Collector
1776580449.0105557,Keyboard,a,Honeypot Exam Collector
1776580450.022713,Keyboard,Key.space,Honeypot Exam Collector
1776580451.0539312,Keyboard,c,Honeypot Exam Collector
1776580451.7065895,Keyboard,h,Honeypot Exam Collector
1776580452.288599,Keyboard,a,Honeypot Exam Collector
1776580452.7591488,Keyboard,i,Honeypot Exam Collector
1776580453.189377,Keyboard,n,Honeypot Exam Collector
1776580455.2971811,Keyboard,Key.enter,Honeypot Exam Collector
1776580457.379161,Keyboard,Key.backspace,Honeypot Exam Collector
1776580462.0040257,Keyboard,Key.shift_r,Honeypot Exam Collector
1776580464.7597508,Mouse,Button.left,Honeypot Exam Collector
1776580472.632326,Keyboard,o,Honeypot Exam Collector
1776580473.4854054,Keyboard,Key.backspace,Honeypot Exam Collector
1776580474.2866943,Keyboard,1,Honeypot Exam Collector
1776580474.9390588,Keyboard,.,Honeypot Exam Collector
1776580475.76114,Keyboard,o,Honeypot Exam Collector
1776580476.3321056,Keyboard,r,Honeypot Exam Collector
1776580476.6716132,Keyboard,d,Honeypot Exam Collector
1776580477.2639213,Keyboard,e,Honeypot Exam Collector
1776580477.5357993,Keyboard,r,Honeypot Exam Collector
1776580478.6961286,Keyboard,Key.space,Honeypot Exam Collector
1776580479.156169,Keyboard,o,Honeypot Exam Collector
1776580479.6668406,Keyboard,f,Honeypot Exam Collector
1776580480.3192627,Keyboard,Key.space,Honeypot Exam Collector
1776580481.0889604,Keyboard,p,Honeypot Exam Collector
1776580481.913409,Keyboard,Key.backspace,Honeypot Exam Collector
1776580482.3438802,Keyboard,o,Honeypot Exam Collector
1776580482.6324034,Keyboard,p,Honeypot Exam Collector
1776580484.3626404,Keyboard,e,Honeypot Exam Collector
1776580484.6820457,Keyboard,r,Honeypot Exam Collector
1776580485.2239535,Keyboard,a,Honeypot Exam Collector
1776580485.576722,Keyboard,t,Honeypot Exam Collector
1776580486.147427,Keyboard,i,Honeypot Exam Collector
1776580486.4291975,Keyboard,o,Honeypot Exam Collector
1776580486.7390747,Keyboard,n,Honeypot Exam Collector
1776580489.0225482,Keyboard,Key.enter,Honeypot Exam Collector
1776580490.2532165,Keyboard,2,Honeypot Exam Collector
1776580491.3039644,Keyboard,.,Honeypot Exam Collector
1776580493.0391238,Keyboard,i,Honeypot Exam Collector
1776580493.5296128,Keyboard,n,Honeypot Exam Collector
1776580494.1900985,Keyboard,s,Honeypot Exam Collector
1776580495.3533618,Keyboard,e,Honeypot Exam Collector
1776580495.6563632,Keyboard,r,Honeypot Exam Collector
1776580497.1270556,Keyboard,t,Honeypot Exam Collector
1776580497.7853277,Keyboard,i,Honeypot Exam Collector
1776580500.534887,Keyboard,o,Honeypot Exam Collector
1776580501.4855866,Keyboard,n,Honeypot Exam Collector
1776580502.9154909,Keyboard,Key.space,Honeypot Exam Collector
1776580503.6075015,Keyboard,a,Honeypot Exam Collector
1776580504.1903937,Keyboard,n,Honeypot Exam Collector
1776580504.7785857,Keyboard,d,Honeypot Exam Collector
1776580505.5912886,Keyboard,Key.space,Honeypot Exam Collector
1776580506.7848668,Keyboard,d,Honeypot Exam Collector
1776580507.0274456,Keyboard,e,Honeypot Exam Collector
